driverStandingsId,raceId,driverId,points,position,positionText,wins
7148,301,71,0.00,27,27,0
7152,302,95,108.00,1,1,9
7154,302,102,50.00,2,2,3
7155,302,30,47.00,3,3,1
7160,302,57,11.00,8,8,0
7179,302,71,0.00,28,28,0
7183,303,95,108.00,1,1,9
7185,303,102,50.00,3,3,3
7186,303,30,47.00,4,4,1
7191,303,57,11.00,8,8,0
7210,303,71,0.00,29,29,0
7215,304,95,108.00,1,1,9
7217,304,102,50.00,4,4,3
7218,304,30,53.00,3,3,1
7223,304,57,11.00,8,8,0
7242,304,71,0.00,30,30,0
8247,1,18,10.00,1,1,1
8251,1,4,4.00,5,5,0
8252,1,3,3.00,6,6,0
8259,1,20,0.00,13,13,0
8261,1,8,0.00,15,15,0
9351,273,117,10.00,1,1,1
9352,273,102,6.00,2,2,0
9358,274,117,10.00,2,2,1
9359,274,102,16.00,1,1,1
9365,274,71,6.00,3,3,0
9366,274,30,4.00,5,5,0
9374,275,117,14.00,2,2,1
9375,275,102,26.00,1,1,2
9381,275,71,12.00,3,3,0
9382,275,30,4.00,6,6,0
9393,276,117,24.00,2,2,2
9394,276,102,26.00,1,1,2
9400,276,71,12.00,3,3,0
9401,276,30,10.00,4,4,0
9414,277,117,34.00,1,1,3
9415,277,102,32.00,2,2,2
9421,277,71,12.00,4,4,0
9422,277,30,14.00,3,3,0
9437,278,117,37.00,2,2,3
9438,278,102,42.00,1,1,3
9444,278,71,18.00,3,3,0
9445,278,30,14.00,4,4,0
9462,279,117,47.00,1,1,4
9463,279,102,42.00,2,2,3
9469,279,71,22.00,3,3,0
9470,279,30,20.00,4,4,0
9488,280,117,57.00,1,1,5
9489,280,102,45.00,2,2,3
9495,280,71,28.00,3,3,0
9496,280,30,24.00,4,4,0
9514,281,117,67.00,1,1,6
9515,281,102,47.00,2,2,3
9521,281,71,28.00,4,4,0
9522,281,30,30.00,3,3,0
9540,282,117,77.00,1,1,7
9541,282,102,50.00,2,2,3
9547,282,71,28.00,4,4,0
9548,282,30,36.00,3,3,0
9567,283,117,77.00,1,1,7
9568,283,102,50.00,2,2,3
9574,283,71,38.00,3,3,1
9575,283,30,36.00,4,4,0
9594,284,117,81.00,1,1,7
9595,284,102,53.00,2,2,3
9601,284,71,48.00,3,3,2
9602,284,30,42.00,4,4,0
9621,285,117,81.00,1,1,7
9622,285,102,53.00,3,3,3
9628,285,71,58.00,2,2,3
9629,285,30,42.00,4,4,0
9649,286,117,87.00,1,1,7
9650,286,102,53.00,3,3,3
9656,286,71,62.00,2,2,3
9657,286,30,52.00,4,4,1
9677,287,117,93.00,1,1,7
9678,287,102,63.00,3,3,4
9684,287,71,65.00,2,2,3
9685,287,30,52.00,4,4,1
9705,287,57,4.00,15,15,0
9708,288,117,99.00,1,1,7
9709,288,102,73.00,2,2,5
9715,288,71,69.00,3,3,3
9716,288,30,52.00,4,4,1
9736,288,57,4.00,15,15,0
10192,240,30,10.00,1,1,1
10195,240,57,3.00,4,4,0
10202,241,30,14.00,1,1,1
10205,241,57,3.00,6,6,0
10212,241,71,10.00,2,2,1
10218,242,30,14.00,2,2,1
10221,242,57,5.00,6,6,0
10228,242,71,20.00,1,1,2
10235,242,95,0.00,18,18,0
10239,243,30,24.00,1,1,2
10242,243,57,5.00,7,7,0
10249,243,71,23.00,2,2,2
10256,243,95,0.00,20,20,0
10264,244,30,34.00,1,1,3
10267,244,57,5.00,7,7,0
10274,244,71,29.00,2,2,2
10281,244,95,0.00,23,23,0
10290,245,30,36.00,1,1,3
10293,245,57,5.00,9,9,0
10300,245,71,29.00,2,2,2
10307,245,95,0.00,25,25,0
10317,246,30,46.00,1,1,4
10320,246,57,5.00,9,9,0
10327,246,71,35.00,2,2,2
10334,246,95,0.00,25,25,0
10345,247,30,46.00,1,1,4
10348,247,57,5.00,10,10,0
10355,247,71,35.00,2,2,2
10362,247,95,0.00,25,25,0
10374,248,30,56.00,1,1,5
10377,248,57,5.00,10,10,0
10384,248,71,35.00,2,2,2
10391,248,95,0.00,25,25,0
10403,249,30,56.00,1,1,5
10406,249,57,5.00,11,11,0
10413,249,71,45.00,2,2,3
10420,249,95,0.00,26,26,0
10433,250,30,66.00,1,1,6
10436,250,57,5.00,13,13,0
10443,250,71,51.00,2,2,3
10450,250,95,0.00,26,26,0
10463,251,30,66.00,1,1,6
10466,251,57,11.00,8,8,0
10473,251,71,51.00,2,2,3
10480,251,95,0.00,27,27,0
10494,252,30,72.00,1,1,6
10497,252,57,11.00,8,8,0
10504,252,71,55.00,2,2,3
10511,252,95,0.00,27,27,0
10525,253,30,82.00,1,1,7
10528,253,57,11.00,8,8,0
10535,253,71,55.00,2,2,3
10542,253,95,0.00,27,27,0
10558,254,30,92.00,1,1,8
10561,254,57,11.00,8,8,0
10568,254,71,59.00,2,2,3
10575,254,95,0.00,28,28,0
10592,255,30,102.00,1,1,9
10595,255,57,17.00,7,7,0
10602,255,71,59.00,2,2,3
10609,255,95,0.00,29,29,0
10626,256,30,102.00,1,1,9
10629,256,57,17.00,7,7,0
10636,256,71,69.00,2,2,4
10643,256,95,0.00,30,30,0
10661,207,30,6.00,2,2,0
10662,207,57,4.00,3,3,0
10671,208,30,8.00,4,4,0
10672,208,57,7.00,5,5,0
10680,208,35,10.00,2,2,1
10687,208,71,0.00,18,18,0
10690,209,30,8.00,5,5,0
10691,209,57,9.00,4,4,0
10699,209,35,20.00,1,1,2
10706,209,71,0.00,20,20,0
10711,210,30,14.00,2,2,0
10712,210,57,10.00,7,7,0
10720,210,35,20.00,1,1,2
10727,210,71,0.00,21,21,0
10732,211,30,24.00,1,1,1
10733,211,57,10.00,7,7,0
10741,211,35,20.00,2,2,2
10748,211,71,0.00,22,22,0
10754,212,30,27.00,2,2,1
10755,212,57,10.00,8,8,0
10763,212,35,30.00,1,1,3
10770,212,71,0.00,23,23,0
10777,213,30,37.00,1,1,2
10778,213,57,10.00,9,9,0
10786,213,35,30.00,2,2,3
10793,213,71,0.00,21,21,0
10800,214,30,47.00,1,1,3
10801,214,57,10.00,9,9,0
10809,214,35,33.00,2,2,3
10816,214,71,0.00,21,21,0
10823,215,30,47.00,1,1,3
10824,215,57,10.00,9,9,0
10832,215,35,43.00,2,2,4
10839,215,71,1.00,18,18,0
10849,216,30,53.00,1,1,3
10850,216,57,14.00,9,9,0
10858,216,35,43.00,2,2,4
10865,216,71,1.00,19,19,0
10875,217,30,56.00,1,1,3
10876,217,57,14.00,9,9,0
10884,217,35,53.00,2,2,5
10891,217,71,7.00,13,13,0
10901,218,30,66.00,1,1,4
10902,218,57,14.00,10,10,0
10910,218,35,55.00,2,2,5
10917,218,71,7.00,13,13,0
10927,219,30,67.00,1,1,4
10928,219,57,14.00,10,10,0
10936,219,35,57.00,2,2,5
10943,219,71,7.00,13,13,0
10953,220,30,68.00,1,1,4
10954,220,57,14.00,10,10,0
10962,220,35,67.00,2,2,6
10969,220,71,7.00,13,13,0
10979,221,30,68.00,2,2,4
10980,221,57,14.00,10,10,0
10988,221,35,77.00,1,1,7
10995,221,71,7.00,13,13,0
11005,222,30,78.00,1,1,5
11006,222,57,17.00,9,9,0
11014,222,35,77.00,2,2,7
11021,222,71,7.00,13,13,0
11031,223,30,78.00,26,D,5
11032,223,57,27.00,6,6,1
11040,223,35,81.00,1,1,7
11047,223,71,7.00,12,12,0
11063,175,30,0.00,8,8,0
11071,176,30,6.00,5,5,0
11072,176,57,10.00,2,2,1
11083,177,30,16.00,1,1,1
11084,177,57,10.00,3,3,1
11089,177,71,3.00,9,9,0
11102,178,30,26.00,1,1,2
11103,178,57,14.00,3,3,1
11108,178,71,3.00,9,9,0
11122,179,30,30.00,1,1,2
11123,179,57,24.00,2,2,2
11128,179,71,3.00,9,9,0
11142,180,30,30.00,2,2,2
11143,180,57,34.00,1,1,3
11148,180,71,3.00,9,9,0
11163,181,30,32.00,2,2,2
11164,181,57,40.00,1,1,3
11169,181,71,3.00,9,9,0
11185,182,30,32.00,2,2,2
11186,182,57,40.00,1,1,3
11191,182,71,5.00,9,9,0
11207,183,30,32.00,3,3,2
11208,183,57,44.00,1,1,3
11213,183,71,5.00,9,9,0
11229,184,30,32.00,4,4,2
11230,184,57,44.00,2,2,3
11235,184,71,5.00,10,10,0
11251,185,30,32.00,5,5,2
11252,185,57,54.00,2,2,4
11257,185,71,6.00,10,10,0
11273,186,30,32.00,5,5,2
11274,186,57,60.00,1,1,4
11279,186,71,7.00,9,9,0
11288,186,35,0.00,23,23,0
11296,187,30,32.00,5,5,2
11297,187,57,60.00,1,1,4
11302,187,71,7.00,10,10,0
11311,187,35,0.00,22,22,0
11319,188,30,32.00,6,6,2
11320,188,57,62.00,1,1,4
11325,188,71,7.00,12,12,0
11334,188,35,0.00,23,23,0
11342,189,30,38.00,5,5,2
11343,189,57,66.00,2,2,4
11348,189,71,7.00,12,12,0
11357,189,35,0.00,23,23,0
11365,190,30,44.00,5,5,2
11366,190,57,76.00,1,1,5
11371,190,71,7.00,12,12,0
11380,190,35,0.00,21,21,0
11381,141,30,10.00,1,1,1
11386,141,8,1.00,6,6,0
11392,141,4,0.00,12,12,0
11394,142,30,20.00,1,1,2
11399,142,8,1.00,8,8,0
11405,142,4,0.00,16,16,0
11408,142,57,1.00,7,7,0
11410,142,18,0.00,14,14,0
11413,143,30,26.00,1,1,2
11418,143,8,1.00,11,11,0
11424,143,4,0.00,19,19,0
11427,143,57,1.00,10,10,0
11429,143,18,0.00,17,17,0
11432,143,35,0.00,13,13,0
11433,144,30,26.00,1,1,2
11438,144,8,1.00,11,11,0
11444,144,4,0.00,20,20,0
11447,144,57,4.00,7,7,0
11449,144,18,0.00,17,17,0
11452,144,35,0.00,13,13,0
11454,145,30,36.00,1,1,3
11459,145,8,1.00,12,12,0
11465,145,4,0.00,21,21,0
11468,145,57,4.00,10,10,0
11470,145,18,0.00,18,18,0
11473,145,35,4.00,9,9,0
11476,146,30,42.00,1,1,3
11481,146,8,4.00,11,11,0
11487,146,4,0.00,21,21,0
11490,146,57,4.00,12,12,0
11492,146,18,0.00,19,19,0
11495,146,35,4.00,10,10,0
11498,147,30,52.00,1,1,4
11503,147,8,4.00,12,12,0
11509,147,4,0.00,21,21,0
11512,147,57,4.00,13,13,0
11514,147,18,0.00,17,17,0
11517,147,35,7.00,6,6,0
11520,148,30,58.00,1,1,4
11525,148,8,7.00,8,8,0
11531,148,4,0.00,23,23,0
11534,148,57,8.00,6,6,0
11536,148,18,0.00,18,18,0
11539,148,35,7.00,7,7,0
11544,149,30,68.00,1,1,5
11549,149,8,7.00,9,9,0
11555,149,4,0.00,23,23,0
11558,149,57,9.00,6,6,0
11560,149,18,0.00,18,18,0
11563,149,35,7.00,8,8,0
11568,150,30,78.00,1,1,6
11573,150,8,7.00,10,10,0
11579,150,4,0.00,23,23,0
11582,150,57,9.00,7,7,0
11584,150,18,0.00,18,18,0
11587,150,35,7.00,9,9,0
11592,151,30,84.00,1,1,6
11597,151,8,9.00,8,8,0
11603,151,4,0.00,23,23,0
11606,151,57,19.00,5,5,1
11608,151,18,0.00,18,18,0
11611,151,35,7.00,10,10,0
11616,152,30,84.00,1,1,6
11621,152,8,9.00,9,9,0
11627,152,4,0.00,23,23,0
11630,152,57,19.00,5,5,1
11632,152,18,2.00,16,16,0
11635,152,35,11.00,7,7,0
11640,153,30,94.00,1,1,7
11645,153,8,9.00,9,9,0
11651,153,4,0.00,23,23,0
11654,153,57,21.00,5,5,1
11656,153,18,2.00,16,16,0
11659,153,35,11.00,7,7,0
11664,154,30,104.00,1,1,8
11669,154,8,9.00,9,9,0
11675,154,4,0.00,23,23,0
11678,154,57,24.00,5,5,1
11680,154,18,2.00,16,16,0
11683,154,35,11.00,7,7,0
11688,155,30,107.00,1,1,8
11693,155,8,9.00,9,9,0
11699,155,4,0.00,23,23,0
11702,155,57,24.00,6,6,1
11704,155,18,2.00,17,17,0
11707,155,35,12.00,7,7,0
11713,156,30,113.00,1,1,8
11718,156,8,9.00,10,10,0
11724,156,4,0.00,23,23,0
11727,156,57,34.00,5,5,2
11729,156,18,2.00,17,17,0
11732,156,35,12.00,7,7,0
11738,157,30,123.00,1,1,9
11743,157,8,9.00,10,10,0
11749,157,4,0.00,23,23,0
11752,157,57,37.00,5,5,2
11754,157,18,2.00,17,17,0
11757,157,35,12.00,7,7,0
11764,124,30,10.00,1,1,1
11766,124,8,4.00,3,3,0
11772,125,30,14.00,1,1,1
11774,125,8,4.00,4,4,0
11781,125,18,3.00,5,5,0
11785,125,35,0.00,14,14,0
11789,126,30,24.00,1,1,2
11791,126,8,4.00,5,5,0
11798,126,18,6.00,4,4,0
11802,126,35,0.00,15,15,0
11807,127,30,34.00,1,1,3
11809,127,8,4.00,7,7,0
11816,127,18,8.00,4,4,0
11820,127,35,0.00,13,13,0
11827,128,30,44.00,1,1,4
11829,128,8,4.00,8,8,0
11836,128,18,8.00,5,5,0
11840,128,35,0.00,14,14,0
11847,129,30,54.00,1,1,5
11849,129,8,4.00,8,8,0
11856,129,18,8.00,6,6,0
11860,129,35,0.00,15,15,0
11867,130,30,60.00,1,1,5
11869,130,8,4.00,8,8,0
11876,130,18,8.00,6,6,0
11880,130,35,0.00,16,16,0
11888,131,30,70.00,1,1,6
11890,131,8,7.00,7,7,0
11897,131,18,8.00,6,6,0
11901,131,35,0.00,16,16,0
11910,132,30,76.00,1,1,6
11912,132,8,11.00,6,6,0
11919,132,18,10.00,7,7,0
11923,132,35,0.00,16,16,0
11932,133,30,86.00,1,1,7
11934,133,8,11.00,6,6,0
11941,133,18,10.00,7,7,0
11945,133,35,3.00,12,12,0
11954,134,30,96.00,1,1,8
11956,134,8,17.00,6,6,0
11963,134,18,11.00,7,7,0
11967,134,35,3.00,12,12,0
11976,135,30,106.00,1,1,9
11978,135,8,17.00,6,6,0
11985,135,18,11.00,7,7,0
11989,135,35,3.00,12,12,0
11998,136,30,112.00,1,1,9
12000,136,8,20.00,6,6,0
12007,136,18,11.00,7,7,0
12011,136,35,3.00,12,12,0
12020,137,30,122.00,1,1,10
12022,137,8,20.00,6,6,0
12029,137,18,11.00,7,7,0
12033,137,35,3.00,13,13,0
12042,138,30,128.00,1,1,10
12044,138,8,20.00,6,6,0
12051,138,18,13.00,7,7,0
12055,138,35,3.00,13,13,0
12064,139,30,134.00,1,1,10
12066,139,8,20.00,6,6,0
12073,139,18,13.00,7,7,0
12077,139,35,4.00,12,12,0
12086,140,30,144.00,1,1,11
12088,140,8,24.00,6,6,0
12095,140,18,14.00,7,7,0
12099,140,35,4.00,12,12,0
12110,108,8,6.00,3,3,0
12111,108,30,5.00,4,4,0
12114,108,4,2.00,7,7,0
12116,108,35,0.00,9,9,0
12117,108,18,0.00,10,10,0
12121,109,8,16.00,1,1,1
12122,109,30,8.00,6,6,0
12125,109,4,8.00,5,5,0
12127,109,35,0.00,12,12,0
12128,109,18,2.00,10,10,0
12136,110,8,24.00,1,1,1
12137,110,30,8.00,8,8,0
12140,110,4,14.00,3,3,0
12142,110,35,3.00,11,11,0
12143,110,18,2.00,12,12,0
12153,111,8,32.00,1,1,1
12154,111,30,18.00,3,3,1
12157,111,4,17.00,4,4,0
12159,111,35,3.00,11,11,0
12160,111,18,3.00,12,12,0
12172,112,8,32.00,1,1,1
12173,112,30,28.00,2,2,2
12176,112,4,25.00,3,3,0
12178,112,35,3.00,11,11,0
12179,112,18,3.00,13,13,0
12192,113,8,40.00,1,1,1
12193,113,30,38.00,2,2,3
12196,113,4,25.00,4,4,0
12198,113,35,3.00,13,13,0
12199,113,18,8.00,10,10,0
12212,114,8,48.00,1,1,1
12213,114,30,44.00,2,2,3
12216,114,4,29.00,3,3,0
12218,114,35,3.00,14,14,0
12219,114,18,8.00,10,10,0
12232,115,8,51.00,2,2,1
12233,115,30,54.00,1,1,4
12236,115,4,34.00,3,3,0
12238,115,35,3.00,14,14,0
12239,115,18,8.00,10,10,0
12252,116,8,51.00,2,2,1
12253,116,30,58.00,1,1,4
12256,116,4,39.00,5,5,0
12258,116,35,3.00,14,14,0
12259,116,18,10.00,10,10,0
12272,117,8,56.00,2,2,1
12273,117,30,64.00,1,1,4
12276,117,4,39.00,6,6,0
12278,117,35,3.00,13,13,0
12279,117,18,10.00,11,11,0
12292,118,8,62.00,2,2,1
12293,118,30,69.00,1,1,4
12296,118,4,39.00,6,6,0
12298,118,35,3.00,14,14,0
12299,118,18,11.00,10,10,0
12312,119,8,62.00,3,3,1
12313,119,30,71.00,1,1,4
12316,119,4,44.00,6,6,0
12318,119,35,3.00,15,15,0
12319,119,18,12.00,9,9,0
12333,120,8,70.00,3,3,1
12334,120,30,72.00,1,1,4
12337,120,4,54.00,5,5,1
12339,120,35,3.00,15,15,0
12340,120,18,12.00,10,10,0
12354,121,8,75.00,3,3,1
12355,121,30,82.00,1,1,5
12358,121,4,55.00,6,6,1
12360,121,35,6.00,15,15,0
12361,121,18,12.00,10,10,0
12377,122,8,83.00,2,2,1
12378,122,30,92.00,1,1,6
12381,122,4,55.00,6,6,1
12383,122,35,6.00,16,16,0
12384,122,18,12.00,12,12,0
12400,123,8,91.00,2,2,1
12401,123,30,93.00,1,1,6
12404,123,4,55.00,6,6,1
12406,123,35,6.00,16,16,0
12407,123,18,17.00,9,9,0
12422,90,30,10.00,1,1,1
12424,90,4,6.00,3,3,0
12427,90,18,3.00,6,6,0
12436,91,30,20.00,1,1,2
12438,91,4,8.00,5,5,0
12441,91,18,9.00,4,4,0
12453,92,30,30.00,1,1,3
12455,92,4,11.00,5,5,0
12458,92,18,15.00,3,3,0
12472,93,30,40.00,1,1,4
12474,93,4,16.00,5,5,0
12477,93,18,23.00,3,3,0
12491,93,8,1.00,12,12,0
12492,94,30,50.00,1,1,5
12494,94,4,21.00,4,4,0
12497,94,18,24.00,3,3,0
12511,94,8,1.00,12,12,0
12512,95,30,50.00,1,1,5
12514,95,4,21.00,6,6,0
12517,95,18,32.00,3,3,0
12531,95,8,1.00,15,15,0
12532,96,30,60.00,1,1,6
12534,96,4,25.00,5,5,0
12537,96,18,38.00,3,3,0
12551,96,8,1.00,16,16,0
12552,97,30,70.00,1,1,7
12554,97,4,25.00,5,5,0
12557,97,18,44.00,3,3,0
12571,97,8,5.00,12,12,0
12573,98,30,80.00,1,1,8
12575,98,4,25.00,5,5,0
12578,98,18,44.00,3,3,0
12592,98,8,8.00,11,11,0
12594,99,30,90.00,1,1,9
12596,99,4,33.00,5,5,0
12599,99,18,48.00,3,3,0
12613,99,8,10.00,11,11,0
12616,100,30,100.00,1,1,10
12618,100,4,33.00,5,5,0
12621,100,18,53.00,3,3,0
12635,100,8,18.00,7,7,0
12638,101,30,110.00,1,1,11
12640,101,4,39.00,5,5,0
12643,101,18,61.00,3,3,0
12657,101,8,18.00,8,8,0
12661,102,30,120.00,1,1,12
12663,102,4,45.00,5,5,0
12666,102,18,65.00,3,3,0
12680,102,8,18.00,8,8,0
12684,103,30,128.00,1,1,12
12686,103,4,45.00,5,5,0
12689,103,18,65.00,3,3,0
12703,103,8,28.00,7,7,1
12708,104,30,136.00,1,1,12
12710,104,4,45.00,5,5,0
12713,104,18,71.00,3,3,0
12727,104,8,28.00,7,7,1
12732,105,30,136.00,1,1,12
12734,105,4,50.00,4,4,0
12737,105,18,79.00,3,3,0
12751,105,8,34.00,7,7,1
12756,105,35,0.00,23,23,0
12757,106,30,146.00,1,1,13
12759,106,4,54.00,4,4,0
12762,106,18,85.00,3,3,0
12776,106,8,37.00,7,7,1
12781,106,35,0.00,21,21,0
12782,107,30,148.00,1,1,13
12784,107,4,59.00,4,4,0
12787,107,18,85.00,3,3,0
12801,107,8,45.00,7,7,1
12806,107,35,0.00,21,21,0
12807,53,4,10.00,1,1,1
12808,53,30,8.00,2,2,0
12809,53,8,6.00,3,3,0
12810,53,18,5.00,4,4,0
12813,53,3,2.00,7,7,0
12825,54,4,18.00,1,1,1
12826,54,30,11.00,2,2,0
12827,54,8,6.00,6,6,0
12828,54,18,11.00,3,3,0
12831,54,3,2.00,9,9,0
12844,54,35,2.00,10,10,0
12846,55,4,28.00,1,1,2
12847,55,30,11.00,4,4,0
12848,55,8,14.00,3,3,0
12849,55,18,11.00,5,5,0
12852,55,3,2.00,13,13,0
12865,55,35,5.00,9,9,0
12868,56,4,36.00,1,1,2
12869,56,30,21.00,2,2,1
